haiyanhuang,jefdhondt
negative,negative
negative,negative
negative,negative
negative,negative
positive,positive
,negative
,negative
,positive
positive,positive
positive,positive
negative,negative
neutral,positive
positive,positive
positive,positive
positive,positive
negative,negative
negative,negative
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,negative
positive,positive
negative,negative
positive,
positive,
positive,
positive,
neutral,
positive,
neutral,
positive,
positive,
negative,
positive,
positive,
positive,
positive,
positive,
positive,
negative,
positive,
negative,
neutral,
positive,
,positive
,positive
,negative
,positive
,positive
positive,positive
positive,positive
positive,positive
negative,
positive,negative
positive,positive
neutral,positive
positive,positive
positive,positive
positive,positive
negative,negative
negative,negative
negative,negative
positive,positive
positive,positive
negative,negative
negative,negative
positive,
positive,
positive,
negative,
positive,
positive,
negative,
negative,
negative,
negative,
neutral,
positive,
positive,
positive,
negative,
positive,
positive,
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
,positive
positive,
negative,
positive,
positive,
positive,
neutral,
positive,
positive,positive
positive,positive
positive,positive
,positive
positive,
positive,
negative,negative
positive,positive
positive,positive
negative,negative
positive,positive
positive,negative
positive,positive
negative,negative
positive,positive
positive,positive
positive,positive
negative,positive
,negative
,positive
,positive
positive,
negative,
positive,
negative,
negative,
positive,
negative,
positive,
negative,
positive,
negative,
positive,
positive,
positive,positive
positive,positive
positive,positive
positive,positive
,positive
,positive
,positive
,positive
,positive
positive,
positive,
positive,
positive,
positive,
negative,
positive,positive
positive,positive
positive,positive
negative,negative
negative,negative
positive,positive
negative,negative
positive,
negative,
negative,
,negative
,negative
negative,negative
neutral,negative
neutral,
positive,
neutral,
neutral,
positive,positive
positive,positive
positive,positive
positive,positive
positive,
positive,
neutral,
positive,
negative,
positive,
negative,
positive,
,positive
,positive
,positive
,positive
,negative
positive,positive
positive,positive
positive,positive
negative,positive
positive,positive
,positive
,negative
positive,
positive,
negative,
positive,
negative,
positive,
negative,
positive,positive
negative,neutral
positive,positive
positive,
negative,
negative,
,negative
,positive
,negative
,positive
,positive
,negative
,positive
,positive
,positive
positive,positive
positive,positive
positive,negative
negative,negative
negative,negative
negative,
negative,
negative,
positive,
negative,
negative,
,negative
,negative
,negative
,negative
,negative
,negative
,negative
positive,negative
negative,negative
positive,
positive,
,positive
,negative
,negative
,negative
,negative
positive,positive
positive,positive
negative,negative
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
positive,positive
,positive
,positive
,positive
positive,
positive,
negative,
positive,
positive,
positive,
positive,
positive,
positive,
positive,
positive,
negative,
positive,
positive,
negative,
negative,
negative,negative
negative,negative
positive,negative
positive,negative
negative,negative
positive,positive
positive,
positive,
positive,
positive,
negative,
,negative
,negative
,positive
,negative
negative,negative
positive,positive
negative,negative
negative,negative
negative,negative
positive,positive
negative,negative
negative,negative
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,
negative,
negative,
positive,
negative,
positive,
positive,
positive,
positive,
negative,
,negative
,negative
,positive
,positive
,positive
positive,positive
negative,negative
negative,negative
positive,positive
positive,positive
positive,positive
negative,negative
positive,positive
positive,
,positive
,positive
,negative
negative,negative
positive,positive
negative,negative
positive,positive
positive,positive
negative,negative
negative,negative
negative,negative
,negative
,positive
,positive
positive,positive
positive,positive
positive,
positive,
neutral,positive
negative,
positive,
positive,
negative,
positive,
negative,
positive,
negative,
positive,
positive,
negative,
,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,
,positive
,negative
,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
neutral,positive
neutral,negative
positive,positive
positive,positive
,positive
,negative
positive,positive
,positive
,negative
,positive
positive,
positive,
positive,
positive,
positive,
